Unit:(mV)
                     CH1         CH2
Frequency     699.996 Hz           ?
Period          1.429 ms           ?
00001              -2.00       -0.80
00002              -4.00       -3.20
00003              -6.00       -6.00
00004              -8.00       -9.20
00005             -10.00      -12.00
00006             -14.00      -15.20
00007             -24.00      -17.60
00008             -84.00      -20.40
00009            -168.00      -21.20
00010            -186.00      -21.60
00011            -192.00      -21.60
00012            -198.00      -22.00
00013            -204.00      -22.00
00014            -210.00      -21.20
00015            -214.00      -21.20
00016            -218.00      -21.60
00017            -220.00      -21.60
00018            -224.00      -21.20
00019            -228.00      -21.20
00020            -228.00      -21.60
00021            -228.00      -22.00
00022            -232.00      -22.00
00023            -232.00      -21.60
00024            -234.00      -21.20
00025            -234.00      -21.60
00026            -234.00      -21.60
00027            -232.00      -21.60
00028            -230.00      -21.20
00029            -228.00      -21.60
00030            -226.00      -21.20
00031            -224.00      -21.20
00032            -220.00      -20.80
00033            -218.00      -20.80
00034            -212.00      -20.80
00035            -210.00      -20.40
00036            -204.00      -20.80
00037            -198.00      -21.20
00038            -194.00      -20.80
00039            -188.00      -21.20
00040            -182.00      -21.20
00041            -174.00      -21.20
00042            -168.00      -21.20
00043            -160.00      -21.20
00044            -154.00      -20.40
00045            -144.00      -20.40
00046            -138.00      -20.00
00047            -130.00      -20.40
00048            -120.00      -20.40
00049            -112.00      -20.00
00050            -104.00      -20.00
00051             -94.00      -19.60
00052             -86.00      -20.00
00053             -78.00      -19.60
00054             -68.00      -20.00
00055             -60.00      -19.60
00056             -50.00      -19.60
00057             -42.00      -19.20
00058             -36.00      -19.20
00059             -30.00      -18.00
00060             -26.00      -18.00
00061             -22.00      -17.20
00062             -20.00      -16.40
00063             -16.00      -15.20
00064             -14.00      -14.40
00065             -12.00      -12.40
00066             -10.00      -11.60
00067              -8.00      -10.40
00068              -6.00       -8.80
00069              -4.00       -6.00
00070              -2.00       -4.40
00071              -2.00       -2.80
00072               0.00        0.80
00073               2.00        3.20
00074               4.00        6.00
00075               4.00        8.80
00076               8.00       12.00
00077              12.00       15.60
00078              18.00       17.60
00079              48.00       20.40
00080             154.00       22.00
00081             182.00       22.40
00082             190.00       22.40
00083             194.00       22.00
00084             200.00       22.40
00085             204.00       22.40
00086             210.00       22.80
00087             214.00       22.00
00088             218.00       22.40
00089             222.00       22.00
00090             224.00       22.00
00091             226.00       22.40
00092             230.00       22.40
00093             230.00       22.40
00094             230.00       22.40
00095             232.00       22.00
00096             232.00       22.00
00097             232.00       22.00
00098             230.00       22.00
00099             230.00       22.80
00100             228.00       22.80
00101             226.00       22.40
00102             224.00       22.00
00103             222.00       22.00
00104             218.00       22.40
00105             214.00       22.00
00106             210.00       22.40
00107             206.00       22.00
00108             200.00       22.40
00109             194.00       22.00
00110             188.00       21.60
00111             182.00       22.00
00112             178.00       22.00
00113             170.00       22.00
00114             162.00       22.00
00115             156.00       22.00
00116             148.00       21.60
00117             140.00       21.60
00118             132.00       21.60
00119             122.00       21.60
00120             114.00       22.00
00121             106.00       20.80
00122              98.00       21.60
00123              88.00       21.60
00124              80.00       20.80
00125              70.00       20.40
00126              62.00       20.80
00127              52.00       21.20
00128              44.00       20.40
00129              38.00       20.00
00130              32.00       19.60
00131              28.00       19.20
00132              24.00       18.80
00133              20.00       18.00
00134              16.00       16.80
00135              14.00       16.40
00136              12.00       14.40
00137               8.00       14.00
00138               6.00       12.40
00139               6.00       10.80
00140               4.00        8.80
00141               2.00        6.80
00142               0.00        4.00
00143               0.00        2.00
00144              -2.00       -0.80
00145              -4.00       -3.20
00146              -6.00       -6.00
00147              -8.00       -9.20
00148             -12.00      -12.00
00149             -16.00      -15.60
00150             -26.00      -18.40
00151            -102.00      -20.80
00152            -172.00      -21.20
00153            -188.00      -21.20
00154            -194.00      -20.80
00155            -200.00      -21.20
00156            -206.00      -21.60
00157            -210.00      -21.60
00158            -214.00      -21.60
00159            -218.00      -21.20
00160            -222.00      -22.00
00161            -224.00      -21.60
00162            -226.00      -21.60
00163            -228.00      -21.60
00164            -230.00      -21.60
00165            -232.00      -21.60
00166            -232.00      -21.60
00167            -234.00      -21.60
00168            -234.00      -21.20
00169            -232.00      -21.60
00170            -232.00      -21.20
00171            -230.00      -21.60
00172            -228.00      -21.20
00173            -226.00      -21.20
00174            -224.00      -21.20
00175            -220.00      -21.20
00176            -216.00      -21.60
00177            -212.00      -21.20
00178            -208.00      -21.60
00179            -204.00      -21.60
00180            -198.00      -21.20
00181            -192.00      -21.20
00182            -186.00      -20.80
00183            -180.00      -21.20
00184            -174.00      -21.20
00185            -166.00      -20.80
00186            -160.00      -20.80
00187            -152.00      -21.20
00188            -144.00      -20.40
00189            -136.00      -20.00
00190            -128.00      -20.00
00191            -120.00      -20.00
00192            -112.00      -20.00
00193            -102.00      -20.00
00194             -96.00      -20.00
00195             -84.00      -20.00
00196             -76.00      -19.60
00197             -66.00      -19.20
00198             -58.00      -19.60
00199             -50.00      -18.80
00200             -40.00      -18.80
00201             -34.00      -18.40
00202             -28.00      -18.40
00203             -24.00      -17.60
00204             -22.00      -16.80
00205             -18.00      -16.00
00206             -16.00      -15.60
00207             -14.00      -14.00
00208             -10.00      -12.80
00209              -8.00      -11.60
00210              -8.00      -10.00
00211              -6.00       -8.00
00212              -4.00       -6.00
00213              -2.00       -3.60
00214               0.00       -0.80
00215               0.00        1.20
00216               2.00        3.20
00217               4.00        6.80
00218               6.00        9.60
00219               8.00       12.80
00220              12.00       16.00
00221              20.00       18.40
00222              62.00       21.20
00223             162.00       22.00
00224             184.00       22.80
00225             190.00       22.40
00226             196.00       22.00
00227             202.00       22.40
00228             206.00       22.40
00229             210.00       22.40
00230             216.00       22.80
00231             218.00       22.00
00232             222.00       22.80
00233             224.00       22.80
00234             226.00       22.40
00235             228.00       22.40
00236             230.00       22.80
00237             232.00       22.40
00238             232.00       22.40
00239             232.00       22.40
00240             230.00       22.00
00241             232.00       22.40
00242             230.00       22.40
00243             228.00       22.80
00244             226.00       22.40
00245             224.00       22.40
00246             220.00       22.40
00247             216.00       22.40
00248             212.00       22.80
00249             208.00       22.00
00250             204.00       22.40
00251             198.00       22.00
00252             194.00       22.00
00253             188.00       22.00
00254             182.00       22.00
00255             174.00       22.00
00256             170.00       22.40
00257             162.00       22.00
00258             154.00       21.60
00259             146.00       22.00
00260             138.00       22.00
00261             130.00       22.00
00262             122.00       22.00
00263             114.00       22.00
00264             104.00       22.00
00265              96.00       22.00
00266              86.00       22.00
00267              78.00       20.80
00268              68.00       20.80
00269              60.00       20.80
00270              52.00       20.40
00271              44.00       20.00
00272              38.00       20.40
00273              32.00       20.00
00274              26.00       19.20
00275              22.00       18.00
00276              20.00       17.60
00277              16.00       16.80
00278              14.00       15.60
00279              12.00       14.40
00280              10.00       13.20
00281               6.00       11.60
00282               6.00       10.00
00283               4.00        7.60
00284               2.00        6.00
00285               0.00        4.00
00286               0.00        1.60
00287              -2.00       -0.80
00288              -4.00       -3.60
00289              -6.00       -6.40
00290              -8.00       -9.20
00291             -12.00      -12.00
00292             -16.00      -16.00
00293             -30.00      -18.80
00294            -118.00      -21.20
00295            -174.00      -21.60
00296            -188.00      -21.60
00297            -194.00      -21.60
00298            -200.00      -21.20
00299            -206.00      -21.20
00300            -210.00      -21.60
00301            -214.00      -21.60
00302            -218.00      -21.60
00303            -222.00      -21.20
00304            -226.00      -21.20
00305            -226.00      -21.60
00306            -230.00      -21.20
00307            -232.00      -21.20
00308            -232.00      -21.20
00309            -232.00      -21.60
00310            -234.00      -21.60
00311            -234.00      -21.20
00312            -232.00      -21.20
00313            -232.00      -20.80
00314            -230.00      -21.20
00315            -228.00      -21.60
00316            -226.00      -21.20
00317            -222.00      -21.20
00318            -220.00      -21.20
00319            -216.00      -20.80
00320            -212.00      -20.80
00321            -208.00      -20.40
00322            -204.00      -21.20
00323            -198.00      -21.20
00324            -192.00      -21.20
00325            -186.00      -20.80
00326            -180.00      -20.80
00327            -172.00      -20.80
00328            -166.00      -20.80
00329            -158.00      -20.00
00330            -150.00      -20.40
00331            -144.00      -20.40
00332            -136.00      -20.40
00333            -128.00      -20.80
00334            -120.00      -20.00
00335            -110.00      -20.40
00336            -102.00      -20.40
00337             -92.00      -20.40
00338             -84.00      -20.00
00339             -74.00      -19.60
00340             -66.00      -19.20
00341             -56.00      -19.20
00342             -48.00      -18.80
00343             -40.00      -19.20
00344             -34.00      -18.00
00345             -28.00      -18.00
00346             -24.00      -17.60
00347             -22.00      -17.20
00348             -18.00      -15.60
00349             -16.00      -14.80
00350             -12.00      -13.60
00351             -10.00      -13.20
00352              -8.00      -11.60
00353              -8.00      -10.00
00354              -6.00       -7.60
00355              -4.00       -4.80
00356              -2.00       -3.60
00357               0.00       -0.80
00358               0.00        1.20
00359               2.00        4.00
00360               4.00        7.60
00361               6.00       10.00
00362              10.00       13.20
00363              14.00       16.00
00364              22.00       19.20
00365              78.00       22.00
00366             168.00       22.80
00367             184.00       22.80
00368             190.00       22.80
00369             196.00       22.40
00370             202.00       23.20
00371             208.00       22.80
00372             212.00       22.40
00373             216.00       22.80
00374             218.00       22.40
00375             222.00       22.40
00376             226.00       22.40
00377             228.00       22.40
00378             230.00       22.40
00379             230.00       22.40
00380             232.00       22.00
00381             230.00       22.40
00382             232.00       23.20
00383             232.00       22.40
00384             232.00       22.00
00385             228.00       22.40
00386             226.00       22.40
00387             226.00       22.00
00388             222.00       22.00
00389             220.00       22.00
00390             216.00       22.40
00391             212.00       22.00
00392             208.00       22.00
00393             204.00       22.40
00394             198.00       22.40
00395             192.00       22.40
00396             188.00       22.00
00397             180.00       22.00
00398             174.00       22.00
00399             168.00       22.00
00400             160.00       21.60
00401             154.00       22.00
00402             146.00       21.60
00403             138.00       22.00
00404             130.00       22.00
00405             120.00       21.60
00406             112.00       21.20
00407             104.00       21.60
00408              94.00       21.20
00409              86.00       20.80
00410              78.00       21.20
00411              68.00       20.40
00412              60.00       20.40
00413              50.00       20.40
00414              44.00       20.40
00415              36.00       20.00
00416              30.00       19.60
00417              26.00       19.20
00418              22.00       18.80
00419              18.00       18.00
00420              16.00       16.80
00421              12.00       16.00
00422              10.00       14.80
00423               8.00       12.80
00424               6.00       12.00
00425               4.00       10.00
00426               4.00        8.00
00427               2.00        5.60
00428               0.00        3.60
00429              -2.00        1.20
00430              -2.00       -1.20
00431              -4.00       -4.00
00432              -6.00       -6.80
00433             -10.00      -10.00
00434             -12.00      -12.80
00435             -18.00      -16.00
00436             -34.00      -19.20
00437            -132.00      -21.20
00438            -178.00      -21.60
00439            -190.00      -21.20
00440            -196.00      -21.20
00441            -202.00      -21.60
00442            -206.00      -21.60
00443            -210.00      -21.60
00444            -214.00      -21.20
00445            -218.00      -22.00
00446            -222.00      -22.00
00447            -226.00      -21.60
00448            -228.00      -21.60
00449            -230.00      -21.20
00450            -232.00      -21.60
00451            -232.00      -21.20
00452            -234.00      -21.20
00453            -234.00      -21.60
00454            -232.00      -21.60
00455            -232.00      -22.00
00456            -232.00      -21.60
