archivo,ruta,frecuencia_Hz,modelo,tau1_us,error_tau1_us,tau2_us,error_tau2_us,imagen,rmse_mV,tau_us,error_tau_us
444Hz___100KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\444Hz___100KSs(1).txt",444.0,doble exponencial,63.45875272414725,0.5513578047391653,565.9905029997888,19.69835375375895,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\444Hz___100KSs(1)_presentacion.png",68.89862556545278,,
444Hz___100KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\444Hz___100KSs(2).txt",444.0,doble exponencial,64.63339087900388,0.5954983293741446,589.5934471672805,23.066293277987498,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\444Hz___100KSs(2)_presentacion.png",72.7564969772407,,
444Hz___100KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\444Hz___100KSs(3).txt",444.0,doble exponencial,65.16422675267832,0.57599037884151,611.0394997993633,24.341972950437892,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\444Hz___100KSs(3)_presentacion.png",70.67629623548783,,
1_132kHz___500KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\1_132kHz___500KSs(1).txt",1132.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\1_132kHz___500KSs(1)_presentacion.png",115.90235890266129,78.69983342032629,0.3474097823110443
1_132kHz___500KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\1_132kHz___500KSs(2).txt",1132.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\1_132kHz___500KSs(2)_presentacion.png",113.52539544050836,78.33507305256792,0.34060615784455794
1_132kHz___500KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\1_132kHz___500KSs(3).txt",1132.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\1_132kHz___500KSs(3)_presentacion.png",115.58874814612838,78.7288343232732,0.3497671263915891
3_170kHz___1MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\3_170kHz___1MSs(1).txt",3170.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\3_170kHz___1MSs(1)_presentacion.png",104.17709642031221,68.60004988024664,0.4726968783325145
3_170kHz___1MSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\3_170kHz___1MSs(2).txt",3170.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\3_170kHz___1MSs(2)_presentacion.png",94.39211457524976,67.43725782456409,0.4132955143326794
3_170kHz___1MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\3_170kHz___1MSs(3).txt",3170.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\3_170kHz___1MSs(3)_presentacion.png",158.9533527862943,69.33671862341288,0.7359061425543848
6_703kHz___2_5MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\6_703kHz___2_5MSs(1).txt",6703.0,exponencial simple,,,,,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ImagenesPresentaciónOndasCuadradas\6_703kHz___2_5MSs(1)_presentacion.png",135.38593098466882,74.40562288781972,2.4314961218919446
