Unit:(mV)
                     CH1         CH2
Frequency      12.079 Hz           ?
Period         82.788 ms           ?
00001         -112000.00     -600.00
00002         -112000.00     -600.00
00003         -112000.00     -600.00
00004         -112000.00     -400.00
00005         -112000.00     -400.00
00006         -110000.00     -400.00
00007         -110000.00     -400.00
00008         -110000.00     -400.00
00009         -110000.00     -400.00
00010         -110000.00     -200.00
00011         -110000.00     -200.00
00012         -110000.00     -200.00
00013         -110000.00     -200.00
00014         -110000.00     -200.00
00015         -110000.00        0.00
00016         -110000.00     -200.00
00017         -110000.00     -200.00
00018         -110000.00     -200.00
00019         -110000.00     -200.00
00020         -110000.00     -200.00
00021         -110000.00        0.00
00022         -110000.00     -200.00
00023         -110000.00     -200.00
00024         -110000.00        0.00
00025         -110000.00     -200.00
00026         -110000.00        0.00
00027         -110000.00        0.00
00028         -110000.00        0.00
00029         -110000.00        0.00
00030         -110000.00        0.00
00031         -110000.00        0.00
00032         -108000.00        0.00
00033         -108000.00        0.00
00034         -108000.00        0.00
00035         -108000.00        0.00
00036         -108000.00        0.00
00037         -108000.00        0.00
00038         -108000.00        0.00
00039         -108000.00        0.00
00040         -108000.00        0.00
00041         -108000.00        0.00
00042         -108000.00        0.00
00043         -108000.00        0.00
00044         -108000.00        0.00
00045         -108000.00        0.00
00046         -108000.00        0.00
00047         -108000.00        0.00
00048         -108000.00        0.00
00049         -108000.00        0.00
00050         -108000.00        0.00
00051         -108000.00        0.00
00052         -108000.00        0.00
00053         -108000.00        0.00
00054         -108000.00        0.00
00055         -108000.00        0.00
00056         -108000.00        0.00
00057         -108000.00        0.00
00058         -108000.00        0.00
00059         -108000.00        0.00
00060         -108000.00        0.00
00061         -108000.00        0.00
00062         -108000.00        0.00
00063         -108000.00        0.00
00064         -108000.00        0.00
00065         -108000.00        0.00
00066         -108000.00        0.00
00067         -108000.00        0.00
00068         -108000.00        0.00
00069         -108000.00        0.00
00070         -108000.00        0.00
00071         -108000.00        0.00
00072         -108000.00        0.00
00073         -108000.00        0.00
00074         -108000.00        0.00
00075         -108000.00        0.00
00076         -108000.00        0.00
00077         -108000.00        0.00
00078         -108000.00        0.00
00079         -108000.00        0.00
00080         -108000.00        0.00
00081         -108000.00        0.00
00082         -108000.00        0.00
00083         -106000.00        0.00
00084         -106000.00        0.00
00085          100000.00     5600.00
00086          102000.00     4000.00
00087          102000.00     3400.00
00088          102000.00     3000.00
00089          104000.00     2600.00
00090          104000.00     2400.00
00091          104000.00     2200.00
00092          104000.00     2000.00
00093          104000.00     1800.00
00094          106000.00     1600.00
00095          104000.00     1400.00
00096          104000.00     1400.00
00097          104000.00     1200.00
00098          104000.00     1000.00
00099          104000.00     1000.00
00100          104000.00      800.00
00101          104000.00      800.00
00102          104000.00      600.00
00103          104000.00      600.00
00104          104000.00      600.00
00105          104000.00      600.00
00106          104000.00      600.00
00107          104000.00      400.00
00108          104000.00      400.00
00109          104000.00      400.00
00110          104000.00      200.00
00111          104000.00      200.00
00112          104000.00      200.00
00113          104000.00      200.00
00114          104000.00      200.00
00115          104000.00      200.00
00116          104000.00      200.00
00117          104000.00      200.00
00118          104000.00        0.00
00119          104000.00      200.00
00120          104000.00        0.00
00121          102000.00        0.00
00122          102000.00        0.00
00123          102000.00        0.00
00124          102000.00        0.00
00125          102000.00        0.00
00126          102000.00        0.00
00127          102000.00        0.00
00128          102000.00        0.00
00129          102000.00        0.00
00130          102000.00        0.00
00131          102000.00        0.00
00132          102000.00        0.00
00133          102000.00        0.00
00134          102000.00        0.00
00135          102000.00        0.00
00136          102000.00        0.00
00137          102000.00        0.00
00138          102000.00        0.00
00139          102000.00        0.00
00140          102000.00        0.00
00141          102000.00        0.00
00142          102000.00        0.00
00143          102000.00        0.00
00144          102000.00        0.00
00145          102000.00        0.00
00146          102000.00        0.00
00147          102000.00        0.00
00148          102000.00        0.00
00149          102000.00        0.00
00150          102000.00        0.00
00151          102000.00        0.00
00152          102000.00        0.00
00153          102000.00        0.00
00154          102000.00        0.00
00155          102000.00        0.00
00156          102000.00        0.00
00157          102000.00        0.00
00158          102000.00        0.00
00159          100000.00        0.00
00160          102000.00        0.00
00161          102000.00        0.00
00162          102000.00        0.00
00163          100000.00        0.00
00164          100000.00        0.00
00165          102000.00        0.00
00166          102000.00        0.00
00167          100000.00        0.00
00168          100000.00        0.00
00169          100000.00        0.00
00170          102000.00        0.00
00171          100000.00        0.00
00172          100000.00        0.00
00173          100000.00        0.00
00174          100000.00        0.00
00175          100000.00        0.00
00176          100000.00        0.00
00177          100000.00        0.00
00178          100000.00        0.00
00179          100000.00        0.00
00180          100000.00        0.00
00181          100000.00     -200.00
00182          100000.00        0.00
00183          100000.00        0.00
00184          100000.00        0.00
00185          100000.00        0.00
00186          100000.00        0.00
00187         -104000.00    -7200.00
00188         -108000.00    -4400.00
00189         -108000.00    -3600.00
00190         -110000.00    -3200.00
00191         -110000.00    -3000.00
00192         -110000.00    -2600.00
00193         -110000.00    -2400.00
00194         -112000.00    -2200.00
00195         -112000.00    -2000.00
00196         -112000.00    -1800.00
00197         -112000.00    -1600.00
00198         -112000.00    -1400.00
00199         -112000.00    -1400.00
00200         -112000.00    -1200.00
