Unit:(mV)
                     CH1         CH2
Frequency      1.132 kHz           ?
Period        883.392 us           ?
00001         -106000.00    -3200.00
00002         -106000.00    -3000.00
00003         -106000.00    -3000.00
00004         -106000.00    -3000.00
00005         -106000.00    -3000.00
00006         -106000.00    -3000.00
00007         -106000.00    -3000.00
00008         -106000.00    -3000.00
00009         -106000.00    -3000.00
00010         -106000.00    -3000.00
00011         -106000.00    -3000.00
00012         -106000.00    -3000.00
00013         -106000.00    -3000.00
00014         -106000.00    -3000.00
00015         -106000.00    -3000.00
00016         -106000.00    -3000.00
00017         -106000.00    -3000.00
00018         -106000.00    -2800.00
00019         -106000.00    -3000.00
00020         -106000.00    -3000.00
00021         -106000.00    -3000.00
00022         -106000.00    -3000.00
00023         -106000.00    -2800.00
00024         -106000.00    -2800.00
00025         -106000.00    -2800.00
00026         -106000.00    -3000.00
00027         -106000.00    -2800.00
00028         -106000.00    -2800.00
00029         -106000.00    -3000.00
00030         -106000.00    -2800.00
00031         -106000.00    -2800.00
00032         -106000.00    -2800.00
00033         -106000.00    -2800.00
00034         -106000.00    -2800.00
00035         -106000.00    -2800.00
00036         -106000.00    -2800.00
00037         -106000.00    -2800.00
00038         -106000.00    -2800.00
00039         -106000.00    -2800.00
00040         -106000.00    -2800.00
00041         -106000.00    -2800.00
00042         -106000.00    -2800.00
00043         -106000.00    -2800.00
00044         -106000.00    -2800.00
00045         -106000.00    -2800.00
00046         -106000.00    -2800.00
00047         -106000.00    -2800.00
00048         -106000.00    -2800.00
00049         -106000.00    -2800.00
00050         -106000.00    -2800.00
00051         -106000.00    -2800.00
00052         -106000.00    -2600.00
00053         -106000.00    -2800.00
00054         -106000.00    -2800.00
00055         -106000.00    -2800.00
00056         -106000.00    -2800.00
00057         -106000.00    -2600.00
00058         -106000.00    -2600.00
00059         -106000.00    -2800.00
00060         -106000.00    -2600.00
00061         -106000.00    -2600.00
00062         -106000.00    -2800.00
00063         -106000.00    -2800.00
00064         -106000.00    -2600.00
00065         -106000.00    -2600.00
00066         -106000.00    -2600.00
00067         -106000.00    -2600.00
00068         -106000.00    -2600.00
00069         -106000.00    -2600.00
00070         -106000.00    -2600.00
00071         -106000.00    -2600.00
00072         -106000.00    -2600.00
00073         -106000.00    -2800.00
00074         -106000.00    -2600.00
00075         -106000.00    -2600.00
00076         -106000.00    -2600.00
00077         -106000.00    -2600.00
00078         -106000.00    -2600.00
00079         -106000.00    -2600.00
00080         -106000.00    -2600.00
00081         -106000.00    -2600.00
00082         -108000.00    -2600.00
00083         -106000.00    -2600.00
00084         -106000.00    -2600.00
00085         -106000.00    -2600.00
00086         -106000.00    -2600.00
00087         -106000.00    -2600.00
00088         -108000.00    -2600.00
00089         -106000.00    -2600.00
00090         -106000.00    -2600.00
00091         -106000.00    -2600.00
00092         -106000.00    -2600.00
00093         -106000.00    -2600.00
00094         -106000.00    -2600.00
00095         -106000.00    -2400.00
00096         -102000.00    -2200.00
00097           90000.00    11200.00
00098           92000.00    11000.00
00099           92000.00    10800.00
00100           92000.00    10800.00
00101           92000.00    10400.00
00102           92000.00    10200.00
00103           92000.00    10000.00
00104           94000.00     9800.00
00105           94000.00     9600.00
00106           94000.00     9400.00
00107           94000.00     9200.00
00108           94000.00     9000.00
00109           94000.00     8800.00
00110           94000.00     8600.00
00111           94000.00     8600.00
00112           94000.00     8400.00
00113           94000.00     8200.00
00114           94000.00     8000.00
00115           94000.00     8000.00
00116           96000.00     7800.00
00117           96000.00     7600.00
00118           96000.00     7400.00
00119           96000.00     7400.00
00120           96000.00     7200.00
00121           96000.00     7200.00
00122           96000.00     7000.00
00123           96000.00     7000.00
00124           96000.00     6800.00
00125           96000.00     6600.00
00126           96000.00     6600.00
00127           96000.00     6400.00
00128           96000.00     6400.00
00129           96000.00     6400.00
00130           96000.00     6200.00
00131           96000.00     6000.00
00132           96000.00     6000.00
00133           96000.00     6000.00
00134           96000.00     5800.00
00135           98000.00     5800.00
00136           96000.00     5600.00
00137           96000.00     5600.00
00138           96000.00     5600.00
00139           98000.00     5600.00
00140           98000.00     5400.00
00141           98000.00     5400.00
00142           98000.00     5400.00
00143           98000.00     5200.00
00144           98000.00     5200.00
00145           98000.00     5000.00
00146           98000.00     5000.00
00147           98000.00     5000.00
00148           98000.00     5000.00
00149           98000.00     4800.00
00150           98000.00     4800.00
00151           98000.00     4800.00
00152           98000.00     4800.00
00153           98000.00     4800.00
00154           98000.00     4600.00
00155           98000.00     4600.00
00156           98000.00     4600.00
00157           98000.00     4600.00
00158           98000.00     4400.00
00159           98000.00     4400.00
00160           98000.00     4400.00
00161           98000.00     4400.00
00162           98000.00     4400.00
