Unit:(mV)
                     CH1         CH2
Frequency      25.596 Hz           ?
Period         39.069 ms           ?
00001          102000.00        0.00
00002          102000.00        0.00
00003          102000.00        0.00
00004          102000.00        0.00
00005          102000.00        0.00
00006          102000.00        0.00
00007          102000.00        0.00
00008         -100000.00   -11600.00
00009         -104000.00    -5600.00
00010         -106000.00    -4600.00
00011         -108000.00    -4200.00
00012         -108000.00    -3800.00
00013         -108000.00    -3400.00
00014         -108000.00    -3200.00
00015         -108000.00    -3200.00
00016         -108000.00    -2800.00
00017         -110000.00    -2600.00
00018         -110000.00    -2600.00
00019         -110000.00    -2600.00
00020         -110000.00    -2400.00
00021         -110000.00    -2200.00
00022         -110000.00    -2200.00
00023         -110000.00    -2000.00
00024         -110000.00    -2000.00
00025         -110000.00    -1800.00
00026         -110000.00    -1800.00
00027         -110000.00    -1600.00
00028         -112000.00    -1600.00
00029         -110000.00    -1600.00
00030         -110000.00    -1400.00
00031         -110000.00    -1400.00
00032         -110000.00    -1200.00
00033         -110000.00    -1200.00
00034         -110000.00    -1200.00
00035         -110000.00    -1200.00
00036         -110000.00    -1000.00
00037         -110000.00    -1200.00
00038         -110000.00    -1000.00
00039         -110000.00    -1000.00
00040         -110000.00    -1000.00
00041         -110000.00     -800.00
00042         -110000.00     -800.00
00043         -110000.00     -800.00
00044         -110000.00     -800.00
00045         -110000.00     -600.00
00046         -110000.00     -800.00
00047         -110000.00     -600.00
00048         -110000.00     -600.00
00049         -110000.00     -600.00
00050         -110000.00     -600.00
00051         -110000.00     -600.00
00052         -110000.00     -600.00
00053         -110000.00     -400.00
00054         -110000.00     -400.00
00055         -110000.00     -400.00
00056         -110000.00     -400.00
00057         -110000.00     -400.00
00058         -110000.00     -400.00
00059         -110000.00     -400.00
00060         -110000.00     -400.00
00061         -110000.00     -400.00
00062         -110000.00     -200.00
00063         -110000.00     -200.00
00064         -110000.00     -200.00
00065         -110000.00     -200.00
00066         -110000.00     -400.00
00067         -110000.00     -200.00
00068         -110000.00     -200.00
00069         -110000.00     -200.00
00070         -110000.00     -200.00
00071         -110000.00     -400.00
00072         -110000.00     -200.00
00073         -110000.00     -200.00
00074         -110000.00     -200.00
00075         -110000.00     -200.00
00076         -110000.00     -200.00
00077         -110000.00     -200.00
00078         -110000.00     -200.00
00079         -110000.00     -200.00
00080         -110000.00     -200.00
00081         -110000.00     -200.00
00082         -110000.00        0.00
00083         -110000.00     -200.00
00084         -110000.00     -200.00
00085         -110000.00     -200.00
00086         -110000.00     -200.00
00087         -110000.00     -200.00
00088         -110000.00        0.00
00089         -110000.00     -200.00
00090         -110000.00     -200.00
00091         -110000.00        0.00
00092         -110000.00        0.00
00093         -110000.00        0.00
00094         -110000.00        0.00
00095         -110000.00        0.00
00096         -108000.00        0.00
00097         -108000.00     -200.00
00098         -108000.00        0.00
00099         -110000.00        0.00
00100         -108000.00        0.00
00101         -108000.00        0.00
00102         -108000.00        0.00
00103         -108000.00        0.00
00104         -108000.00        0.00
00105         -108000.00        0.00
00106         -108000.00        0.00
00107         -106000.00        0.00
00108           96000.00     6800.00
00109           98000.00     5000.00
00110          100000.00     4200.00
00111          100000.00     3800.00
00112          100000.00     3600.00
00113          100000.00     3200.00
00114          102000.00     3200.00
00115          102000.00     3000.00
00116          102000.00     2800.00
00117          102000.00     2600.00
00118          102000.00     2400.00
00119          102000.00     2400.00
00120          102000.00     2200.00
00121          104000.00     2200.00
00122          104000.00     2000.00
00123          104000.00     2000.00
00124          104000.00     1800.00
00125          104000.00     1800.00
00126          104000.00     1800.00
00127          104000.00     1600.00
00128          104000.00     1600.00
00129          104000.00     1400.00
00130          104000.00     1400.00
00131          104000.00     1400.00
00132          104000.00     1200.00
00133          104000.00     1200.00
00134          104000.00     1200.00
00135          104000.00     1000.00
00136          104000.00     1000.00
00137          104000.00     1000.00
00138          104000.00     1000.00
00139          104000.00     1000.00
00140          104000.00      800.00
00141          104000.00      800.00
00142          104000.00      800.00
00143          104000.00      800.00
00144          104000.00      600.00
00145          104000.00      600.00
00146          104000.00      600.00
00147          104000.00      600.00
00148          104000.00      600.00
00149          104000.00      400.00
00150          104000.00      600.00
00151          104000.00      600.00
00152          104000.00      400.00
00153          104000.00      400.00
00154          104000.00      400.00
00155          104000.00      400.00
00156          104000.00      400.00
00157          104000.00      400.00
00158          104000.00      400.00
00159          104000.00      400.00
00160          104000.00      200.00
00161          104000.00      400.00
00162          104000.00      200.00
00163          104000.00      200.00
