Unit:(mV)
                     CH1         CH2
Frequency     38.243 kHz           ?
Period         26.149 us           ?
00001         -102000.00    -6800.00
00002         -102000.00    -6600.00
00003         -102000.00    -6800.00
00004         -102000.00    -6800.00
00005         -102000.00    -6800.00
00006         -102000.00    -6800.00
00007         -102000.00    -6800.00
00008         -102000.00    -6800.00
00009         -104000.00    -6600.00
00010         -102000.00    -6800.00
00011         -104000.00    -6800.00
00012         -102000.00    -6800.00
00013         -102000.00    -6800.00
00014         -102000.00    -6800.00
00015         -104000.00    -6800.00
00016         -102000.00    -6600.00
00017         -104000.00    -6600.00
00018         -102000.00    -6600.00
00019         -104000.00    -6800.00
00020         -102000.00    -6600.00
00021         -102000.00    -6600.00
00022         -102000.00    -6600.00
00023         -104000.00    -6600.00
00024         -102000.00    -6600.00
00025         -102000.00    -6600.00
00026         -102000.00    -6600.00
00027         -104000.00    -6600.00
00028         -102000.00    -6600.00
00029         -102000.00    -6600.00
00030         -102000.00    -6600.00
00031         -102000.00    -6600.00
00032         -102000.00    -6600.00
00033         -104000.00    -6600.00
00034         -102000.00    -6600.00
00035         -104000.00    -6600.00
00036         -102000.00    -6600.00
00037         -102000.00    -6600.00
00038         -102000.00    -6600.00
00039         -104000.00    -6600.00
00040         -102000.00    -6600.00
00041         -102000.00    -6400.00
00042         -102000.00    -6400.00
00043         -102000.00    -6400.00
00044          -98000.00    -6200.00
00045           54000.00     4000.00
00046           90000.00     7200.00
00047           94000.00     7400.00
00048           94000.00     7400.00
00049           96000.00     7400.00
00050           94000.00     7400.00
00051           96000.00     7400.00
00052           94000.00     7400.00
00053           94000.00     7400.00
00054           94000.00     7400.00
00055           94000.00     7400.00
00056           94000.00     7400.00
00057           94000.00     7400.00
00058           94000.00     7200.00
00059           94000.00     7400.00
00060           94000.00     7200.00
00061           96000.00     7200.00
00062           94000.00     7200.00
00063           94000.00     7200.00
00064           94000.00     7400.00
00065           96000.00     7400.00
00066           94000.00     7200.00
00067           96000.00     7200.00
00068           94000.00     7200.00
00069           96000.00     7200.00
00070           94000.00     7200.00
00071           96000.00     7200.00
00072           94000.00     7200.00
00073           96000.00     7200.00
00074           94000.00     7200.00
00075           96000.00     7200.00
00076           94000.00     7200.00
00077           96000.00     7200.00
00078           96000.00     7200.00
00079           96000.00     7200.00
00080           94000.00     7200.00
00081           96000.00     7200.00
00082           96000.00     7200.00
00083           96000.00     7200.00
00084           94000.00     7200.00
00085           96000.00     7200.00
00086           96000.00     7200.00
00087           96000.00     7200.00
00088           96000.00     7200.00
00089           96000.00     7200.00
00090           96000.00     7200.00
00091           96000.00     7200.00
00092           94000.00     7200.00
00093           96000.00     7200.00
00094           96000.00     7200.00
00095           96000.00     7200.00
00096           96000.00     7200.00
00097           96000.00     7200.00
00098           96000.00     7200.00
00099           96000.00     7200.00
00100           96000.00     7200.00
00101           96000.00     7200.00
00102           96000.00     7200.00
00103           96000.00     7200.00
00104           96000.00     7200.00
00105           96000.00     7200.00
00106           96000.00     7000.00
00107           96000.00     7000.00
00108           96000.00     7200.00
00109           96000.00     7000.00
00110           96000.00     7000.00
00111           96000.00     7200.00
00112           96000.00     7000.00
00113           96000.00     7000.00
00114           96000.00     7000.00
00115           96000.00     7000.00
00116           96000.00     7000.00
00117           96000.00     7000.00
00118           96000.00     7000.00
00119           96000.00     7000.00
00120           96000.00     7000.00
00121           96000.00     7000.00
00122           96000.00     7000.00
00123           96000.00     7000.00
00124           96000.00     7000.00
00125           96000.00     7000.00
00126           96000.00     7000.00
00127           96000.00     7000.00
00128           96000.00     7000.00
00129           96000.00     7000.00
00130           96000.00     7000.00
00131           96000.00     7000.00
00132           96000.00     7000.00
00133           96000.00     7000.00
00134           96000.00     7000.00
00135           96000.00     7000.00
00136           96000.00     7000.00
00137           96000.00     7000.00
00138           96000.00     7000.00
00139           96000.00     7000.00
00140           96000.00     6800.00
00141           96000.00     7000.00
00142           96000.00     6800.00
00143           96000.00     6800.00
00144           96000.00     6800.00
00145           96000.00     6800.00
00146           96000.00     6800.00
00147           96000.00     6800.00
