Unit:(mV)
                     CH1         CH2
Frequency      3.176 kHz           ?
Period        314.861 us           ?
00001         -106000.00    -4200.00
00002         -106000.00    -4400.00
00003         -106000.00    -4200.00
00004         -106000.00    -4200.00
00005         -106000.00    -4200.00
00006         -106000.00    -4200.00
00007         -106000.00    -4200.00
00008         -106000.00    -4200.00
00009         -106000.00    -4200.00
00010         -106000.00    -4000.00
00011         -106000.00    -4000.00
00012         -106000.00    -4000.00
00013         -106000.00    -4000.00
00014         -106000.00    -4000.00
00015         -106000.00    -4000.00
00016         -106000.00    -4000.00
00017         -106000.00    -4000.00
00018         -106000.00    -4000.00
00019         -106000.00    -4000.00
00020         -106000.00    -3800.00
00021         -106000.00    -4000.00
00022         -106000.00    -3800.00
00023         -106000.00    -3800.00
00024         -106000.00    -3800.00
00025         -106000.00    -3800.00
00026         -106000.00    -3800.00
00027         -106000.00    -3800.00
00028         -106000.00    -3800.00
00029         -106000.00    -3800.00
00030         -106000.00    -3800.00
00031         -106000.00    -3800.00
00032         -106000.00    -3800.00
00033         -106000.00    -3800.00
00034         -106000.00    -3600.00
00035         -106000.00    -3800.00
00036         -106000.00    -3800.00
00037         -106000.00    -3600.00
00038         -106000.00    -3600.00
00039         -106000.00    -3600.00
00040         -106000.00    -3600.00
00041         -106000.00    -3600.00
00042         -106000.00    -3600.00
00043         -106000.00    -3600.00
00044         -106000.00    -3600.00
00045         -106000.00    -3600.00
00046         -106000.00    -3600.00
00047         -106000.00    -3600.00
00048         -106000.00    -3600.00
00049         -106000.00    -3600.00
00050         -104000.00    -3400.00
00051         -104000.00    -3400.00
00052          -66000.00    -1800.00
00053           92000.00    10200.00
00054           92000.00    10200.00
00055           92000.00    10000.00
00056           92000.00    10000.00
00057           92000.00    10000.00
00058           94000.00     9800.00
00059           94000.00     9800.00
00060           94000.00     9800.00
00061           94000.00     9600.00
00062           94000.00     9400.00
00063           94000.00     9400.00
00064           94000.00     9200.00
00065           94000.00     9000.00
00066           94000.00     9000.00
00067           94000.00     8800.00
00068           94000.00     8800.00
00069           94000.00     8800.00
00070           94000.00     8600.00
00071           94000.00     8600.00
00072           94000.00     8400.00
00073           94000.00     8400.00
00074           94000.00     8200.00
00075           94000.00     8200.00
00076           94000.00     8200.00
00077           94000.00     8200.00
00078           94000.00     8000.00
00079           94000.00     8000.00
00080           94000.00     7800.00
00081           96000.00     7800.00
00082           94000.00     7800.00
00083           96000.00     7600.00
00084           96000.00     7600.00
00085           96000.00     7400.00
00086           96000.00     7400.00
00087           96000.00     7400.00
00088           96000.00     7400.00
00089           96000.00     7200.00
00090           96000.00     7200.00
00091           96000.00     7000.00
00092           96000.00     7000.00
00093           96000.00     7000.00
00094           96000.00     7000.00
00095           96000.00     6800.00
00096           96000.00     6800.00
00097           96000.00     6800.00
00098           96000.00     6600.00
00099           96000.00     6600.00
00100           96000.00     6600.00
00101           96000.00     6400.00
00102           96000.00     6400.00
00103           96000.00     6400.00
00104           96000.00     6400.00
00105           96000.00     6400.00
00106           96000.00     6200.00
00107           96000.00     6200.00
00108           96000.00     6200.00
00109           96000.00     6000.00
00110           96000.00     6000.00
00111           96000.00     6000.00
00112           96000.00     6000.00
00113           96000.00     5800.00
00114           96000.00     5800.00
00115           96000.00     5800.00
00116           98000.00     5800.00
00117           98000.00     5800.00
00118           96000.00     5800.00
00119           98000.00     5600.00
00120           98000.00     5600.00
00121           96000.00     5400.00
00122           98000.00     5600.00
00123           96000.00     5400.00
00124           98000.00     5400.00
00125           98000.00     5400.00
00126           98000.00     5400.00
00127           98000.00     5400.00
00128           98000.00     5400.00
00129           98000.00     5200.00
00130           98000.00     5200.00
00131           98000.00     5200.00
00132           98000.00     5200.00
00133           98000.00     5200.00
00134           98000.00     5000.00
00135           98000.00     5000.00
00136           98000.00     5000.00
00137           98000.00     5000.00
00138           98000.00     5000.00
00139           98000.00     5000.00
00140           98000.00     5000.00
00141           98000.00     4800.00
00142           98000.00     4800.00
00143           98000.00     4800.00
00144           98000.00     4800.00
00145           98000.00     4800.00
00146           98000.00     4800.00
00147           98000.00     4600.00
00148           98000.00     4600.00
00149           98000.00     4600.00
00150           98000.00     4600.00
00151           98000.00     4600.00
