Unit:(mV)
                     CH1         CH2
Frequency      6.704 kHz           ?
Period        149.165 us           ?
00001         -104000.00    -6200.00
00002         -104000.00    -6200.00
00003         -104000.00    -6200.00
00004         -104000.00    -6200.00
00005         -104000.00    -6000.00
00006         -104000.00    -6000.00
00007         -104000.00    -6000.00
00008         -104000.00    -6000.00
00009         -104000.00    -6000.00
00010         -104000.00    -6000.00
00011         -104000.00    -6000.00
00012         -104000.00    -6000.00
00013         -104000.00    -6000.00
00014         -104000.00    -5800.00
00015         -104000.00    -6000.00
00016         -104000.00    -6000.00
00017         -104000.00    -6000.00
00018         -104000.00    -5800.00
00019         -104000.00    -5800.00
00020         -104000.00    -5800.00
00021         -104000.00    -5800.00
00022         -104000.00    -5800.00
00023         -104000.00    -5800.00
00024         -104000.00    -5800.00
00025         -104000.00    -5800.00
00026         -104000.00    -5800.00
00027         -104000.00    -5800.00
00028         -104000.00    -5800.00
00029         -104000.00    -5600.00
00030         -104000.00    -5600.00
00031         -104000.00    -5600.00
00032         -104000.00    -5600.00
00033         -104000.00    -5600.00
00034         -104000.00    -5600.00
00035         -104000.00    -5600.00
00036         -104000.00    -5600.00
00037         -104000.00    -5600.00
00038         -104000.00    -5600.00
00039         -104000.00    -5400.00
00040         -104000.00    -5400.00
00041         -104000.00    -5400.00
00042         -104000.00    -5400.00
00043         -104000.00    -5400.00
00044         -104000.00    -5400.00
00045         -104000.00    -5400.00
00046         -104000.00    -5400.00
00047         -104000.00    -5400.00
00048         -104000.00    -5400.00
00049         -104000.00    -5400.00
00050         -104000.00    -5400.00
00051         -104000.00    -5400.00
00052         -104000.00    -5400.00
00053         -104000.00    -5200.00
00054         -104000.00    -5200.00
00055         -104000.00    -5200.00
00056         -104000.00    -5200.00
00057         -104000.00    -5200.00
00058         -104000.00    -5200.00
00059         -104000.00    -5200.00
00060         -104000.00    -5200.00
00061         -104000.00    -5200.00
00062         -104000.00    -5200.00
00063         -104000.00    -5200.00
00064         -104000.00    -5200.00
00065         -104000.00    -5200.00
00066         -104000.00    -5200.00
00067         -104000.00    -5000.00
00068         -104000.00    -5200.00
00069         -104000.00    -5200.00
00070         -104000.00    -5000.00
00071         -104000.00    -5200.00
00072         -104000.00    -5000.00
00073         -104000.00    -5000.00
00074         -104000.00    -5000.00
00075         -104000.00    -5000.00
00076         -104000.00    -5000.00
00077         -104000.00    -5000.00
00078         -104000.00    -5000.00
00079         -104000.00    -5000.00
00080         -104000.00    -5000.00
00081         -104000.00    -4800.00
00082         -104000.00    -4800.00
00083         -104000.00    -4800.00
00084         -104000.00    -4800.00
00085         -104000.00    -4800.00
00086         -104000.00    -4800.00
00087         -104000.00    -4800.00
00088         -102000.00    -4600.00
00089          -98000.00    -4400.00
00090           94000.00     9000.00
00091           94000.00     9000.00
00092           92000.00     9000.00
00093           94000.00     8800.00
00094           94000.00     8800.00
00095           94000.00     8800.00
00096           94000.00     8800.00
00097           94000.00     8800.00
00098           94000.00     8800.00
00099           94000.00     8800.00
00100           94000.00     8800.00
00101           94000.00     8800.00
00102           94000.00     8800.00
00103           94000.00     8600.00
00104           94000.00     8600.00
00105           94000.00     8600.00
00106           94000.00     8600.00
00107           94000.00     8400.00
00108           94000.00     8400.00
00109           94000.00     8400.00
00110           94000.00     8400.00
00111           94000.00     8400.00
00112           94000.00     8400.00
00113           94000.00     8200.00
00114           94000.00     8200.00
00115           94000.00     8200.00
00116           94000.00     8200.00
00117           94000.00     8200.00
00118           94000.00     8200.00
00119           94000.00     8200.00
00120           94000.00     8000.00
00121           94000.00     8000.00
00122           94000.00     8000.00
00123           96000.00     8000.00
00124           94000.00     8000.00
00125           94000.00     8000.00
00126           96000.00     8000.00
00127           94000.00     7800.00
00128           94000.00     7800.00
00129           96000.00     7800.00
00130           96000.00     7800.00
00131           96000.00     7800.00
00132           94000.00     7800.00
00133           96000.00     7800.00
00134           94000.00     7600.00
00135           96000.00     7600.00
00136           96000.00     7600.00
00137           96000.00     7600.00
00138           96000.00     7600.00
00139           96000.00     7600.00
00140           96000.00     7400.00
00141           96000.00     7400.00
00142           96000.00     7400.00
00143           96000.00     7400.00
00144           96000.00     7400.00
00145           96000.00     7200.00
00146           96000.00     7200.00
00147           96000.00     7200.00
00148           96000.00     7200.00
00149           96000.00     7200.00
00150           96000.00     7200.00
00151           96000.00     7200.00
00152           96000.00     7200.00
00153           96000.00     7000.00
00154           96000.00     7000.00
00155           96000.00     7000.00
00156           96000.00     7000.00
00157           96000.00     7000.00
00158           96000.00     7000.00
00159           96000.00     7000.00
00160           96000.00     7000.00
00161           96000.00     7000.00
00162           96000.00     6800.00
00163           96000.00     7000.00
00164           96000.00     7000.00
00165           96000.00     6800.00
00166           96000.00     6800.00
00167           96000.00     6800.00
00168           96000.00     6800.00
00169           96000.00     6800.00
00170           96000.00     6800.00
00171           96000.00     6600.00
00172           96000.00     6600.00
00173           96000.00     6600.00
00174           96000.00     6600.00
00175           96000.00     6600.00
00176           96000.00     6400.00
00177           96000.00     6400.00
00178           96000.00     6600.00
00179           96000.00     6400.00
00180           96000.00     6600.00
00181           96000.00     6400.00
00182           96000.00     6400.00
00183           96000.00     6400.00
00184           96000.00     6400.00
00185           96000.00     6400.00
00186           96000.00     6400.00
00187           96000.00     6200.00
00188           96000.00     6200.00
00189           96000.00     6200.00
00190           96000.00     6200.00
00191           96000.00     6200.00
00192           96000.00     6200.00
00193           96000.00     6200.00
00194           96000.00     6200.00
00195           96000.00     6200.00
00196           96000.00     6000.00
00197           96000.00     6000.00
00198           96000.00     6000.00
00199           96000.00     6200.00
00200           96000.00     6000.00
00201           96000.00     6000.00
00202           96000.00     6000.00
00203           96000.00     6000.00
00204           96000.00     6000.00
00205           96000.00     6000.00
00206           96000.00     6000.00
00207           96000.00     6000.00
00208           96000.00     6000.00
00209           96000.00     6000.00
00210           96000.00     5800.00
00211           96000.00     5800.00
00212           96000.00     5800.00
00213           96000.00     5800.00
00214           96000.00     5800.00
00215           96000.00     5800.00
00216           98000.00     5800.00
00217           98000.00     5800.00
00218           96000.00     5600.00
00219           98000.00     5600.00
00220           96000.00     5800.00
00221           98000.00     5600.00
00222           98000.00     5600.00
00223           98000.00     5600.00
00224           98000.00     5600.00
00225           98000.00     5600.00
00226           96000.00     5600.00
00227           96000.00     5600.00
00228           98000.00     5600.00
00229           98000.00     5600.00
00230           98000.00     5600.00
00231           98000.00     5600.00
00232           98000.00     5600.00
00233           98000.00     5400.00
00234           98000.00     5400.00
00235           98000.00     5400.00
00236           98000.00     5400.00
00237           98000.00     5400.00
00238           98000.00     5400.00
00239           98000.00     5400.00
00240           98000.00     5400.00
00241           98000.00     5400.00
00242           98000.00     5400.00
00243           98000.00     5400.00
00244           98000.00     5200.00
00245           98000.00     5200.00
00246           98000.00     5400.00
00247           98000.00     5400.00
00248           98000.00     5200.00
00249           98000.00     5200.00
00250           98000.00     5200.00
00251           98000.00     5200.00
00252           98000.00     5200.00
00253           98000.00     5200.00
00254           98000.00     5200.00
00255           98000.00     5200.00
00256           98000.00     5200.00
00257           98000.00     5200.00
00258           98000.00     5000.00
00259           98000.00     5200.00
00260           98000.00     5200.00
00261           98000.00     5000.00
00262           98000.00     5200.00
00263           98000.00     5000.00
00264           98000.00     5000.00
00265           98000.00     5000.00
00266           98000.00     5000.00
00267           98000.00     5000.00
00268           98000.00     5000.00
00269           98000.00     5000.00
00270           98000.00     5000.00
00271           96000.00     4800.00
00272           96000.00     4800.00
00273           92000.00     4600.00
00274         -100000.00    -9000.00
00275         -100000.00    -9000.00
00276         -100000.00    -8800.00
00277         -100000.00    -8800.00
00278         -100000.00    -8800.00
00279         -100000.00    -8800.00
00280         -100000.00    -8800.00
00281         -100000.00    -8800.00
00282         -100000.00    -8600.00
00283         -100000.00    -8600.00
00284         -100000.00    -8600.00
00285         -102000.00    -8600.00
00286         -102000.00    -8600.00
00287         -102000.00    -8600.00
00288         -100000.00    -8600.00
00289         -102000.00    -8600.00
00290         -102000.00    -8600.00
00291         -102000.00    -8400.00
00292         -102000.00    -8400.00
00293         -102000.00    -8400.00
00294         -102000.00    -8400.00
00295         -102000.00    -8400.00
00296         -102000.00    -8200.00
00297         -102000.00    -8200.00
00298         -102000.00    -8200.00
00299         -102000.00    -8200.00
00300         -102000.00    -8200.00
00301         -102000.00    -8000.00
00302         -102000.00    -8000.00
00303         -102000.00    -8000.00
00304         -102000.00    -8000.00
00305         -102000.00    -8000.00
00306         -102000.00    -8000.00
00307         -102000.00    -7800.00
00308         -102000.00    -7800.00
00309         -102000.00    -7800.00
00310         -102000.00    -7800.00
00311         -102000.00    -7800.00
00312         -102000.00    -7800.00
00313         -102000.00    -7600.00
00314         -102000.00    -7800.00
00315         -102000.00    -7600.00
00316         -102000.00    -7600.00
00317         -102000.00    -7600.00
00318         -102000.00    -7600.00
00319         -102000.00    -7600.00
00320         -102000.00    -7600.00
00321         -102000.00    -7600.00
00322         -102000.00    -7400.00
00323         -102000.00    -7400.00
00324         -102000.00    -7400.00
00325         -102000.00    -7400.00
00326         -102000.00    -7400.00
00327         -102000.00    -7400.00
00328         -102000.00    -7400.00
00329         -102000.00    -7400.00
00330         -102000.00    -7200.00
00331         -102000.00    -7200.00
00332         -102000.00    -7200.00
00333         -102000.00    -7200.00
00334         -102000.00    -7000.00
00335         -102000.00    -7200.00
00336         -102000.00    -7000.00
00337         -102000.00    -7000.00
00338         -102000.00    -7000.00
00339         -102000.00    -7000.00
00340         -102000.00    -7000.00
00341         -102000.00    -7000.00
00342         -102000.00    -7000.00
00343         -102000.00    -6800.00
00344         -102000.00    -6800.00
00345         -102000.00    -6800.00
00346         -102000.00    -6800.00
00347         -102000.00    -6800.00
00348         -102000.00    -6800.00
00349         -102000.00    -6800.00
00350         -102000.00    -6800.00
00351         -102000.00    -6800.00
00352         -102000.00    -6600.00
00353         -102000.00    -6600.00
00354         -104000.00    -6600.00
00355         -102000.00    -6600.00
00356         -102000.00    -6600.00
00357         -102000.00    -6600.00
00358         -102000.00    -6600.00
00359         -104000.00    -6400.00
00360         -104000.00    -6400.00
00361         -102000.00    -6400.00
00362         -104000.00    -6400.00
00363         -104000.00    -6400.00
00364         -104000.00    -6400.00
00365         -104000.00    -6400.00
00366         -104000.00    -6400.00
00367         -104000.00    -6400.00
00368         -104000.00    -6400.00
00369         -104000.00    -6400.00
00370         -104000.00    -6400.00
00371         -104000.00    -6200.00
00372         -104000.00    -6200.00
00373         -104000.00    -6200.00
00374         -104000.00    -6200.00
00375         -104000.00    -6200.00
00376         -104000.00    -6200.00
00377         -104000.00    -6200.00
00378         -104000.00    -6000.00
00379         -104000.00    -6000.00
00380         -104000.00    -6000.00
00381         -104000.00    -6000.00
00382         -104000.00    -6000.00
00383         -104000.00    -6000.00
00384         -104000.00    -6000.00
00385         -104000.00    -6000.00
00386         -104000.00    -6000.00
00387         -104000.00    -6000.00
00388         -104000.00    -6000.00
00389         -104000.00    -6000.00
00390         -104000.00    -6000.00
00391         -104000.00    -5800.00
00392         -104000.00    -5800.00
00393         -104000.00    -5800.00
00394         -104000.00    -5800.00
00395         -104000.00    -5800.00
00396         -104000.00    -5800.00
00397         -104000.00    -5800.00
00398         -104000.00    -5800.00
00399         -104000.00    -5800.00
00400         -104000.00    -5800.00
00401         -104000.00    -5800.00
00402         -104000.00    -5800.00
00403         -104000.00    -5600.00
00404         -104000.00    -5600.00
00405         -104000.00    -5600.00
00406         -104000.00    -5600.00
00407         -104000.00    -5600.00
00408         -104000.00    -5600.00
00409         -104000.00    -5600.00
00410         -104000.00    -5600.00
00411         -104000.00    -5600.00
00412         -104000.00    -5600.00
00413         -104000.00    -5400.00
00414         -104000.00    -5400.00
00415         -104000.00    -5400.00
00416         -104000.00    -5400.00
00417         -104000.00    -5400.00
00418         -104000.00    -5400.00
00419         -104000.00    -5400.00
00420         -104000.00    -5400.00
00421         -104000.00    -5400.00
00422         -104000.00    -5400.00
00423         -104000.00    -5200.00
00424         -104000.00    -5400.00
00425         -104000.00    -5200.00
00426         -104000.00    -5400.00
00427         -104000.00    -5200.00
00428         -104000.00    -5400.00
00429         -104000.00    -5200.00
00430         -104000.00    -5200.00
00431         -104000.00    -5200.00
00432         -104000.00    -5200.00
00433         -104000.00    -5200.00
00434         -104000.00    -5200.00
00435         -104000.00    -5200.00
00436         -104000.00    -5200.00
00437         -104000.00    -5200.00
00438         -104000.00    -5200.00
00439         -104000.00    -5000.00
00440         -104000.00    -5000.00
00441         -104000.00    -5000.00
00442         -104000.00    -5000.00
00443         -104000.00    -5000.00
00444         -104000.00    -5000.00
00445         -104000.00    -5000.00
00446         -104000.00    -5000.00
00447         -104000.00    -5000.00
00448         -104000.00    -5000.00
00449         -104000.00    -5000.00
00450         -104000.00    -5000.00
00451         -104000.00    -4800.00
00452         -104000.00    -5000.00
00453         -104000.00    -5000.00
00454         -104000.00    -5000.00
00455         -104000.00    -4800.00
00456         -104000.00    -4800.00
00457         -104000.00    -4800.00
00458         -104000.00    -4800.00
00459         -104000.00    -4800.00
00460         -104000.00    -4800.00
00461         -102000.00    -4600.00
00462          -98000.00    -4200.00
00463           92000.00     9200.00
00464           94000.00     9000.00
00465           94000.00     9000.00
00466           94000.00     9000.00
00467           94000.00     9000.00
00468           94000.00     8800.00
00469           94000.00     8800.00
00470           94000.00     8800.00
00471           94000.00     8800.00
00472           94000.00     8800.00
00473           94000.00     8800.00
00474           94000.00     8800.00
00475           94000.00     8800.00
00476           94000.00     8800.00
00477           94000.00     8800.00
00478           94000.00     8600.00
00479           94000.00     8600.00
00480           94000.00     8600.00
00481           94000.00     8600.00
00482           94000.00     8600.00
00483           94000.00     8400.00
00484           94000.00     8400.00
00485           94000.00     8400.00
00486           94000.00     8400.00
00487           94000.00     8400.00
00488           94000.00     8200.00
00489           94000.00     8200.00
00490           94000.00     8200.00
00491           94000.00     8200.00
00492           94000.00     8000.00
00493           94000.00     8000.00
00494           94000.00     8000.00
00495           94000.00     8000.00
00496           94000.00     8000.00
00497           94000.00     8000.00
00498           96000.00     8000.00
00499           96000.00     8000.00
00500           96000.00     8000.00
00501           96000.00     7800.00
00502           96000.00     7800.00
00503           96000.00     7800.00
00504           96000.00     7800.00
00505           96000.00     7600.00
00506           96000.00     7600.00
00507           96000.00     7600.00
00508           96000.00     7600.00
00509           96000.00     7600.00
00510           96000.00     7600.00
00511           96000.00     7600.00
00512           96000.00     7600.00
00513           96000.00     7400.00
00514           96000.00     7400.00
00515           96000.00     7400.00
00516           96000.00     7400.00
00517           96000.00     7400.00
00518           96000.00     7400.00
00519           96000.00     7200.00
00520           96000.00     7200.00
00521           96000.00     7200.00
00522           96000.00     7200.00
00523           96000.00     7200.00
00524           96000.00     7200.00
00525           96000.00     7000.00
