archivo,ruta,frecuencia_Hz,fs_Ss,dt_us,cantidad_muestras,flancos,cantidad_ramas,tau_s,tau_us,error_tau_s,error_tau_us,rmse_mV,imagen,modelo,tau2_s,tau2_us,error_tau2_s,error_tau2_us
444Hz___100KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\444Hz___100KSs(1).txt",444.0,100000.0,10.0,1000,"[67, 181, 292, 406, 516, 630, 741, 855, 966]",8,6.345875272414726e-05,63.45875272414725,5.513578047391653e-07,0.5513578047391653,68.89862556545278,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\444Hz___100KSs(1)_ajuste.png",doble exponencial,0.0005659905029997888,565.9905029997888,1.9698353753758952e-05,19.69835375375895
444Hz___100KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\444Hz___100KSs(2).txt",444.0,100000.0,10.0,1000,"[68, 182, 292, 407, 517, 631, 742, 856, 967]",8,6.463339087900388e-05,64.63339087900388,5.954983293741445e-07,0.5954983293741446,72.7564969772407,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\444Hz___100KSs(2)_ajuste.png",doble exponencial,0.0005895934471672805,589.5934471672805,2.30662932779875e-05,23.066293277987498
444Hz___100KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\444Hz___100KSs(3).txt",444.0,100000.0,10.0,1000,"[68, 182, 293, 407, 517, 632, 742, 856, 967]",8,6.516422675267832e-05,65.16422675267832,5.759903788415101e-07,0.57599037884151,70.67629623548783,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\444Hz___100KSs(3)_ajuste.png",doble exponencial,0.0006110394997993633,611.0394997993633,2.434197295043789e-05,24.341972950437892
1_132kHz___500KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\1_132kHz___500KSs(1).txt",1132.0,500000.0,2.0,1000,"[96, 314, 538, 756, 980]",4,7.869983342032628e-05,78.69983342032629,3.474097823110443e-07,0.3474097823110443,115.90235890266129,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\1_132kHz___500KSs(1)_ajuste.png",exponencial simple,,,,
1_132kHz___500KSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\1_132kHz___500KSs(2).txt",1132.0,500000.0,2.0,1000,"[97, 315, 539, 757, 980]",4,7.833507305256792e-05,78.33507305256792,3.4060615784455793e-07,0.34060615784455794,113.52539544050836,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\1_132kHz___500KSs(2)_ajuste.png",exponencial simple,,,,
1_132kHz___500KSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\1_132kHz___500KSs(3).txt",1132.0,500000.0,2.0,1000,"[97, 315, 539, 757, 980]",4,7.872883432327321e-05,78.7288343232732,3.497671263915891e-07,0.3497671263915891,115.58874814612838,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\1_132kHz___500KSs(3)_ajuste.png",exponencial simple,,,,
3_170kHz___1MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\3_170kHz___1MSs(1).txt",3170.0,1000000.0,1.0,1000,"[52, 206, 367, 521, 682, 836, 997]",6,6.860004988024665e-05,68.60004988024664,4.726968783325145e-07,0.4726968783325145,104.17709642031221,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\3_170kHz___1MSs(1)_ajuste.png",exponencial simple,,,,
3_170kHz___1MSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\3_170kHz___1MSs(2).txt",3170.0,1000000.0,1.0,1000,"[52, 206, 367, 521, 681, 836, 996]",6,6.743725782456408e-05,67.43725782456409,4.132955143326794e-07,0.4132955143326794,94.39211457524976,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\3_170kHz___1MSs(2)_ajuste.png",exponencial simple,,,,
3_170kHz___1MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\3_170kHz___1MSs(3).txt",3170.0,1000000.0,1.0,1000,"[52, 207, 367, 522, 682, 837, 997]",6,6.933671862341288e-05,69.33671862341288,7.359061425543848e-07,0.7359061425543848,158.9533527862943,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\3_170kHz___1MSs(3)_ajuste.png",exponencial simple,,,,
6_703kHz___2_5MSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\6_703kHz___2_5MSs(1).txt",6703.0,2500000.0,0.4,1000,"[88, 272, 461, 645, 834]",4,7.440562288781972e-05,74.40562288781972,2.4314961218919445e-06,2.4314961218919446,135.38593098466882,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\6_703kHz___2_5MSs(1)_ajuste.png",exponencial simple,,,,
6_703kHz___2_5MSs(2).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\6_703kHz___2_5MSs(2).txt",6703.0,2500000.0,0.4,1000,"[89, 273, 462, 645, 835]",4,8.47179982241673e-05,84.7179982241673,7.052430593361634e-06,7.052430593361634,303.690795361111,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\6_703kHz___2_5MSs(2)_ajuste.png",exponencial simple,,,,
6_703kHz___2_5MSs(3).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\6_703kHz___2_5MSs(3).txt",6703.0,2500000.0,0.4,1000,"[88, 272, 461, 645, 834]",4,7.245825044696311e-05,72.4582504469631,1.2002012155822462e-06,1.2002012155822464,70.78777876719418,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\6_703kHz___2_5MSs(3)_ajuste.png",exponencial simple,,,,
12Hz___2_5KSs(1).txt,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\OndaCuadrada\12Hz___2_5KSs(1).txt",12.0,2500.0,400.0,1000,"[84, 187, 292, 394, 499, 601, 706, 808, 913]",8,0.0030103843128607742,3010.384312860774,5.903080271734026e-05,59.03080271734026,268.0752433563522,"E:\Fisica2026\Exp-Electromagneticos\Experimento V, Cajita Feliz\Codigo\ResultadosCuadradas\12Hz___2_5KSs(1)_ajuste.png",exponencial simple,,,,
