Unit:(mV)
                     CH1         CH2
Frequency           <2Hz           ?
Period               N/A           ?
00001           76000.00     1000.00
00002           10000.00    -2800.00
00003           48000.00    -1000.00
00004           36000.00      800.00
00005           52000.00      600.00
00006           66000.00     1400.00
00007           58000.00      400.00
00008           52000.00     -400.00
00009           50000.00      600.00
00010           50000.00      400.00
00011           52000.00      200.00
00012           86000.00      800.00
00013           80000.00     1800.00
00014           16000.00    -1400.00
00015           76000.00      400.00
00016           44000.00      800.00
00017           66000.00      200.00
00018           60000.00      800.00
00019           44000.00      800.00
00020           58000.00     1000.00
00021           32000.00    -1000.00
00022           54000.00    -1200.00
00023           20000.00    -1000.00
00024           56000.00      800.00
00025           52000.00     1400.00
00026           48000.00      200.00
00027           44000.00      800.00
00028           44000.00        0.00
00029           86000.00     2000.00
00030           60000.00      800.00
00031           54000.00     1200.00
00032           32000.00     -600.00
00033           38000.00    -1200.00
00034           22000.00    -1200.00
00035           58000.00      200.00
00036           58000.00     -800.00
00037           52000.00     -400.00
00038           56000.00     1400.00
00039           74000.00      800.00
00040           44000.00     -200.00
00041           42000.00     -600.00
00042           30000.00    -1000.00
00043           44000.00    -1000.00
00044           50000.00     1200.00
00045           26000.00     -800.00
00046           34000.00        0.00
00047           40000.00     1200.00
00048           48000.00     -600.00
00049           54000.00    -1000.00
00050           40000.00     -200.00
00051           16000.00     -600.00
00052           66000.00     -600.00
00053           72000.00     1000.00
00054           72000.00     1600.00
00055           76000.00     1000.00
00056           54000.00        0.00
00057           48000.00     1000.00
00058           26000.00    -2000.00
00059           64000.00    -1000.00
00060           64000.00     -400.00
00061           38000.00     -600.00
00062           50000.00    -1000.00
00063           42000.00    -1000.00
00064           38000.00     -600.00
00065           36000.00      200.00
00066           52000.00        0.00
00067           60000.00      200.00
00068           52000.00     -400.00
00069           50000.00     -200.00
00070           42000.00     -400.00
00071           36000.00     -400.00
00072           52000.00        0.00
00073           42000.00      200.00
00074           58000.00      200.00
00075           24000.00        0.00
00076           28000.00    -1400.00
00077           38000.00    -1200.00
00078           20000.00     -400.00
00079           60000.00     -600.00
00080           28000.00    -1600.00
00081           22000.00        0.00
00082           42000.00     -400.00
00083           68000.00     2000.00
00084           36000.00    -1200.00
00085           38000.00     -800.00
00086           34000.00        0.00
00087           58000.00     1200.00
00088           64000.00        0.00
00089           66000.00     1000.00
00090           80000.00     1200.00
00091           52000.00      800.00
00092           82000.00      800.00
00093           34000.00     -200.00
00094           40000.00    -1000.00
00095           54000.00        0.00
00096           60000.00        0.00
00097           50000.00     1400.00
00098           24000.00    -1200.00
00099           40000.00     -800.00
00100           70000.00     -200.00
00101           56000.00     1200.00
00102           44000.00    -1200.00
00103           32000.00      200.00
00104           32000.00    -1800.00
00105           36000.00    -1200.00
00106           66000.00      800.00
00107           54000.00     -200.00
00108           82000.00        0.00
00109           56000.00     -200.00
00110           42000.00    -1000.00
00111           84000.00     2000.00
00112           56000.00        0.00
00113           26000.00     -400.00
00114           28000.00     -600.00
00115           56000.00     1200.00
00116           36000.00     -200.00
00117           28000.00     -200.00
00118           30000.00    -1000.00
00119           28000.00     -200.00
00120           56000.00     -400.00
00121           44000.00      400.00
00122           52000.00      200.00
00123           46000.00      400.00
00124           52000.00     1200.00
00125           44000.00      200.00
00126           78000.00     1200.00
00127           38000.00     -600.00
00128           50000.00     -200.00
00129           12000.00     -200.00
00130           64000.00      400.00
